index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.0100291,0,0,0,0,0,0
1,11,0,0.0200581,0,0,0,0,0,0
2,12,0,0.0300872,0,0,0,0,0,0
3,13,0,0.0401163,0,0,0,0,0,0
4,14,0,0.0501453,0,0,0,0,0,0
5,15,0,0.0601744,0,0,0,0,0,0
6,16,0,0.0702035,0,0,0,0,0,0
7,17,0,0.0802326,0,0,0,0,0,0
8,18,0,0.0902616,0,0,0,0,0,0
9,19,0,0.100291,0,0,0,0,0,0
10,20,0,0.11032,0,0,0,0,0,0
11,21,0,0.120349,0,0,0,0,0,0
12,22,0,0.130378,0,0,0,0,0,0
13,23,0,0.140407,0,0,0,0,0,0
14,24,0,0.150436,0,0,0,0,0,0
15,25,0,0.160465,0,0,0,0,0,0
16,26,0,0.170494,0,0,0,0,0,0
17,27,0,0.180523,0,0,0,0,0,0
18,28,0,0.190552,0,0,0,0,0,0
19,29,0,0.200581,0,0,0,0,0,0
20,30,0,0.21061,0,0,0,0,0,0
21,31,0,0.22064,0,0,0,0,0,0
22,32,0,0.230669,0,0,0,0,0,0
23,33,0,0.240698,0,0,0,0,0,0
24,34,0,0.250727,0,0,0,0,0,0
25,35,0,0.260756,0,0,0,0,0,0
26,36,0,0.270785,0,0,0,0,0,0
27,37,0,0.280814,0,0,0,0,0,0
28,38,0,0.290843,0,0,0,0,0,0
29,39,0,0.300872,0,0,0,0,0,0
30,40,0,0.310901,0,0,0,0,0,0
31,41,0,0.32093,0,0,0,0,0,0
32,42,0,0.330959,0,0,0,0,0,0
33,43,0,0.340988,0,0,0,0,0,0
34,44,0,0.351017,0,0,0,0,0,0
35,45,0,0.361047,0,0,0,0,0,0
36,46,0,0.371076,0,0,0,0,0,0
37,47,0,0.381105,0,0,0,0,0,0
38,48,0,0.391134,0,0,0,0,0,0
39,49,0,0.401163,0,0,0,0,0,0
40,50,0,0.411192,0,0,0,0,0,0
41,51,0,0.421221,0,0,0,0,0,0
42,52,0,0.43125,0,0,0,0,0,0
43,53,0,0.441279,0,0,0,0,0,0
44,54,0,0.451308,0,0,0,0,0,0
45,55,0,0.461337,0,0,0,0,0,0
46,56,0,0.471366,0,0,0,0,0,0
47,57,0,0.481395,0,0,0,0,0,0
48,58,0,0.491424,0,0,0,0,0,0
49,59,0,0.501453,0,0,0,0,0,0
50,60,0,0.511483,0,0,0,0,0,0.0903828
51,61,0,0.521512,0,0,0,0,0,0.253072
52,62,0,0.531541,0,0,0,0,0,0.379608
53,63,0,0.54157,0,0,0,0,0,0.469991
54,64,0,0.551599,0,0,0,0,0,0.524221
55,65,0,0.561628,0,0.0002,0,0.019942,0,0.451914
56,66,0,0.571657,0,0.0006,0,0.0398841,0,0.271149
57,67,0,0.581686,1,0.001,1,0.0398841,1,0.0903828
58,68,0,0.591715,2,0.0014,1,0.0398841,0,-0.0903828
59,69,0,0.601744,2,0.0018,0,0.0398841,-1,-0.271149
60,70,0,0.611773,2,0.002,0,0.019942,0,-0.451914
61,71,0,0.621802,2,0.002,0,0,0,-0.524221
62,72,0,0.631831,2,0.002,0,0,0,-0.469991
63,73,0,0.64186,2,0.002,0,0,0,-0.379608
64,74,0,0.65189,2,0.002,0,0,0,-0.253072
65,75,0,0.661919,2,0.002,0,0,0,-0.0903828
66,76,0,0.671948,2,0.002,0,0,0,0
67,77,0,0.681977,2,0.002,0,0,0,0
68,78,0,0.692006,2,0.002,0,0,0,0
69,79,0,0.702035,2,0.002,0,0,0,-0.0903828
70,80,0,0.712064,2,0.002,0,0,0,-0.162689
71,81,0,0.722093,2,0.002,0,0,0,-0.216919
72,82,0,0.732122,2,0.002,0,0,0,-0.253072
73,83,0,0.742151,2,0.002,0,0,0,-0.271149
74,84,0,0.75218,2,0.0018,0,-0.019942,0,-0.180766
75,85,0,0.762209,2,0.0016,0,-0.019942,0,-0.0903828
76,87,0,0.772238,1,0.0014,-1,-0.019942,-1,0
77,88,0,0.782267,1,0.0012,0,-0.019942,1,0.0903828
78,89,0,0.792297,1,0.001,0,-0.019942,0,0.180766
79,90,0,0.802326,1,0.001,0,0,0,0.271149
80,91,0,0.812355,1,0.001,0,0,0,0.253072
81,92,0,0.822384,1,0.001,0,0,0,0.216919
82,93,0,0.832413,1,0.001,0,0,0,0.162689
83,94,0,0.842442,1,0.001,0,0,0,0.0903828
84,95,0,0.852471,1,0.001,0,0,0,-0.0903828
85,96,0,0.8625,1,0.001,0,0,0,-0.162689
86,97,0,0.872529,1,0.001,0,0,0,-0.216919
87,98,0,0.882558,1,0.001,0,0,0,-0.253072
88,99,0,0.892587,1,0.001,0,0,0,-0.361531
89,100,0,0.902616,1,0.0008,0,-0.019942,0,-0.343455
90,101,0,0.912645,1,0.0006,0,-0.019942,0,-0.307302
