index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.01,3,0.007,3,0.366667,3,1.83333
1,11,0,0.02,7,0.009,4,0.375,1,1.66667
2,12,0,0.03,11,0.0112,4,0.4,0,1.6
3,13,0,0.04,15,0.0154,4,0.42,0,1.41558
4,14,0,0.05,20,0.0196,5,0.42,1,1.32987
5,15,0,0.06,24,0.024,4,0.44,-1,1.17273
6,16,0,0.07,28,0.0284,4,0.44,0,1.12121
7,17,0,0.08,33,0.0328,5,0.44,1,1
8,18,0,0.09,37,0.0374,4,0.46,-1,0.927273
9,19,0,0.1,42,0.0422,5,0.48,1,0.872727
10,20,0,0.11,47,0.047,5,0.48,0,0.836364
11,21,0,0.12,52,0.052,5,0.5,0,0.909091
12,22,0,0.13,57,0.057,5,0.5,0,0.890909
13,23,0,0.14,62,0.062,5,0.5,0,0.872727
14,24,0,0.15,67,0.067,5,0.5,0,0.945454
15,25,0,0.16,72,0.0722,5,0.52,0,1.01818
16,26,0,0.17,77,0.0776,5,0.54,0,1
17,27,0,0.18,83,0.083,6,0.54,1,1.09091
18,28,0,0.19,89,0.0886,6,0.56,0,1.09091
19,29,0,0.2,94,0.0944,5,0.58,-1,1
20,30,0,0.21,100,0.1002,6,0.58,1,0.818182
21,31,0,0.22,106,0.106,6,0.58,0,0.745454
22,32,0,0.23,112,0.112,6,0.6,0,0.781818
23,33,0,0.24,118,0.118,6,0.6,0,0.727273
24,34,0,0.25,124,0.124,6,0.6,0,0.781818
25,35,0,0.26,130,0.13,6,0.6,0,0.945454
26,36,0,0.27,136,0.1362,6,0.62,0,1.01818
27,37,0,0.28,142,0.1426,6,0.64,0,1
28,38,0,0.29,149,0.149,7,0.64,1,1.09091
29,39,0,0.3,156,0.1556,7,0.66,0,1.09091
30,40,0,0.31,162,0.1624,6,0.68,-1,1
31,41,0,0.32,169,0.1692,7,0.68,1,0.909091
32,42,0,0.33,176,0.176,7,0.68,0,0.818182
33,43,0,0.34,183,0.183,7,0.7,0,0.836364
34,44,0,0.35,190,0.19,7,0.7,0,0.763636
35,45,0,0.36,197,0.197,7,0.7,0,0.8
36,46,0,0.37,204,0.2042,7,0.72,0,0.854545
37,47,0,0.38,211,0.2114,7,0.72,0,0.927273
38,48,0,0.39,219,0.2188,8,0.74,1,0.909091
39,49,0,0.4,226,0.2262,7,0.74,-1,1
40,50,0,0.41,234,0.2338,8,0.76,1,1
41,51,0,0.42,241,0.2414,7,0.76,-1,1
42,52,0,0.43,249,0.2492,8,0.78,1,1
43,53,0,0.44,257,0.257,8,0.78,0,1
44,54,0,0.45,265,0.265,8,0.8,0,1.09091
45,55,0,0.46,273,0.273,8,0.8,0,1.07273
46,56,0,0.47,281,0.2812,8,0.82,0,1.05455
47,57,0,0.48,289,0.2894,8,0.82,0,1.03636
48,58,0,0.49,298,0.2978,9,0.84,1,0.927273
49,59,0,0.5,306,0.3064,8,0.86,-1,0.745455
50,60,0,0.51,315,0.315,9,0.86,1,0.672727
51,61,0,0.52,324,0.3236,9,0.86,0,0.490909
52,62,0,0.53,332,0.3324,8,0.88,-1,0.362338
53,63,0,0.54,341,0.341,9,0.86,1,0.181818
54,64,0,0.55,350,0.3496,9,0.86,0,0.0727273
55,65,0,0.56,358,0.354,8,0.875,-1,6.34413e-14
56,66,0,0.57,367,0.358333,9,0.866667,1,8.45884e-14
